"","Sample_ID","Stiffness_Score","Tumor_Type"
"TCGA-IG-A51D-01A-11R-A36D-31","TCGA-IG-A51D-01A-11R-A36D-31",25.1870877192982,"TCGA-ESCA"
"TCGA-Q9-A6FU-01A-11R-A31P-31","TCGA-Q9-A6FU-01A-11R-A31P-31",26.9857964912281,"TCGA-ESCA"
"TCGA-JY-A6FE-01A-11R-A336-31","TCGA-JY-A6FE-01A-11R-A336-31",43.3162666666667,"TCGA-ESCA"
"TCGA-LN-A5U7-01A-11R-A31P-31","TCGA-LN-A5U7-01A-11R-A31P-31",19.6550140350877,"TCGA-ESCA"
"TCGA-LN-A8I0-01A-11R-A36D-31","TCGA-LN-A8I0-01A-11R-A36D-31",30.2606175438596,"TCGA-ESCA"
"TCGA-LN-A8I1-01A-11R-A36D-31","TCGA-LN-A8I1-01A-11R-A36D-31",9.91995964912281,"TCGA-ESCA"
"TCGA-IG-A3QL-01A-11R-A24K-31","TCGA-IG-A3QL-01A-11R-A24K-31",30.2283105263158,"TCGA-ESCA"
"TCGA-L5-A8NJ-01A-11R-A36D-31","TCGA-L5-A8NJ-01A-11R-A36D-31",6.09575263157895,"TCGA-ESCA"
"TCGA-L5-A4OI-01A-11R-A36D-31","TCGA-L5-A4OI-01A-11R-A36D-31",7.74605789473684,"TCGA-ESCA"
"TCGA-S8-A6BV-01A-21R-A31P-31","TCGA-S8-A6BV-01A-21R-A31P-31",16.834649122807,"TCGA-ESCA"
"TCGA-IG-A3YC-01A-11R-A24K-31","TCGA-IG-A3YC-01A-11R-A24K-31",46.9367649122807,"TCGA-ESCA"
"TCGA-Q9-A6FW-01A-31R-A31P-31","TCGA-Q9-A6FW-01A-31R-A31P-31",13.7011350877193,"TCGA-ESCA"
"TCGA-L5-A8NF-01A-11R-A37I-31","TCGA-L5-A8NF-01A-11R-A37I-31",18.0418228070175,"TCGA-ESCA"
"TCGA-2H-A9GL-01A-12R-A37I-31","TCGA-2H-A9GL-01A-12R-A37I-31",20.6221561403509,"TCGA-ESCA"
"TCGA-LN-A49K-01A-11R-A24K-31","TCGA-LN-A49K-01A-11R-A24K-31",11.4220456140351,"TCGA-ESCA"
"TCGA-VR-AA7B-01A-31R-A406-31","TCGA-VR-AA7B-01A-31R-A406-31",49.7677070175439,"TCGA-ESCA"
"TCGA-R6-A6L6-01B-11R-A336-31","TCGA-R6-A6L6-01B-11R-A336-31",20.8336245614035,"TCGA-ESCA"
"TCGA-IG-A5S3-01A-11R-A28J-31","TCGA-IG-A5S3-01A-11R-A28J-31",20.7784105263158,"TCGA-ESCA"
"TCGA-LN-A9FQ-01A-31R-A38D-31","TCGA-LN-A9FQ-01A-31R-A38D-31",43.758701754386,"TCGA-ESCA"
"TCGA-JY-A6FD-01A-11R-A336-31","TCGA-JY-A6FD-01A-11R-A336-31",12.7124350877193,"TCGA-ESCA"
"TCGA-L5-A43H-01A-11R-A24K-31","TCGA-L5-A43H-01A-11R-A24K-31",17.3840035087719,"TCGA-ESCA"
"TCGA-IC-A6RE-01A-11R-A336-31","TCGA-IC-A6RE-01A-11R-A336-31",13.5619438596491,"TCGA-ESCA"
"TCGA-2H-A9GM-01A-11R-A37I-31","TCGA-2H-A9GM-01A-11R-A37I-31",18.0025789473684,"TCGA-ESCA"
"TCGA-IG-A4P3-01A-11R-A260-31","TCGA-IG-A4P3-01A-11R-A260-31",10.127450877193,"TCGA-ESCA"
"TCGA-L7-A56G-01A-21R-A260-31","TCGA-L7-A56G-01A-21R-A260-31",13.5549649122807,"TCGA-ESCA"
"TCGA-LN-A7HY-01A-12R-A354-31","TCGA-LN-A7HY-01A-12R-A354-31",73.2843385964912,"TCGA-ESCA"
"TCGA-IG-A97I-01A-11R-A38D-31","TCGA-IG-A97I-01A-11R-A38D-31",26.6126298245614,"TCGA-ESCA"
"TCGA-R6-A6XQ-01B-11R-A336-31","TCGA-R6-A6XQ-01B-11R-A336-31",5.08667719298246,"TCGA-ESCA"
"TCGA-LN-A7HX-01A-11R-A336-31","TCGA-LN-A7HX-01A-11R-A336-31",25.9417263157895,"TCGA-ESCA"
"TCGA-XP-A8T8-01A-11R-A36D-31","TCGA-XP-A8T8-01A-11R-A36D-31",9.83367368421053,"TCGA-ESCA"
"TCGA-R6-A6KZ-01A-11R-A31P-31","TCGA-R6-A6KZ-01A-11R-A31P-31",22.7123333333333,"TCGA-ESCA"
"TCGA-JY-A6F8-01A-11R-A336-31","TCGA-JY-A6F8-01A-11R-A336-31",20.9473403508772,"TCGA-ESCA"
"TCGA-RE-A7BO-01A-11R-A336-31","TCGA-RE-A7BO-01A-11R-A336-31",13.8722684210526,"TCGA-ESCA"
"TCGA-LN-A49U-01A-31R-A260-31","TCGA-LN-A49U-01A-31R-A260-31",67.5318877192982,"TCGA-ESCA"
"TCGA-L5-A4OT-01A-11R-A28J-31","TCGA-L5-A4OT-01A-11R-A28J-31",38.4423859649123,"TCGA-ESCA"
"TCGA-L5-A8NL-01A-12R-A37I-31","TCGA-L5-A8NL-01A-12R-A37I-31",65.1071684210526,"TCGA-ESCA"
