,gene,log2FC,p_value,adjusted_p,-log10(adjusted_p)
229,MINOS1,0.06439531,2.686044975139975e-33,2.170440860616947e-32,31.66345204316213
230,NBL1,0.10341835,4.3955023016164205e-12,1.8533452524759453e-11,10.732043670115363
231,TMCO4,0.08506438,6.974641962850005e-12,2.918122311176504e-11,10.534896508893633
232,OTUD3,0.029868424,0.006744586512860445,0.016014698715040562,1.7954812273171226
233,PLA2G2C,-0.0001656462,0.9486979703833327,0.9999853635789433,6.356563418520975e-06
234,UBXN10-AS1,-0.005116351,0.6969623992495437,0.9999853635789433,6.356563418520975e-06
235,UBXN10,-0.018739255,0.14760574176099242,0.28634040726514065,0.5431173616744485
236,CAMK2N1,0.00024472922,0.9955427253407645,0.9999853635789433,6.356563418520975e-06
237,MUL1,0.08921698,1.0277656364578625e-13,4.649255024320641e-13,12.3326166309265
238,CDA,-0.008145167,0.5950723009388281,0.932388833165038,0.030402936485486667
239,PINK1,0.07380958,7.437702673826018e-10,2.828003385357364e-09,8.548520074987888
240,PINK1-AS,0.011186625,0.20375476559477768,0.3831275203328932,0.41665665120291173
241,DDOST,0.19517529,8.386499718193873e-173,5.01563170437267e-171,170.29967436105912
242,HP1BP3,-0.0050292015,0.9287998012750783,0.9999853635789433,6.356563418520975e-06
243,EIF4G3,0.035971105,0.0009512004665653955,0.0024544540754866382,2.6100450894346867
244,ECE1,0.050891995,0.00011948340529034476,0.0003315131502563142,3.47949923959562
245,AL031728.1,0.00028006826,0.9617438394356036,0.9999853635789433,6.356563418520975e-06
246,NBPF3,0.016548496,0.22737948602858904,0.4221783791053088,0.37450401185189036
247,RAP1GAP,-0.00016068644,0.9910594233296914,0.9999853635789433,6.356563418520975e-06
248,USP48,0.082776666,7.199137774277365e-20,4.0610404315340016e-19,18.391362686672313
249,LDLRAD2,-0.00013045926,0.9816839465890494,0.9999853635789433,6.356563418520975e-06
250,HSPG2,0.010669952,0.29336315189066486,0.528236822284651,0.27717132831340463
251,LINC01635,-0.0036911387,0.7630197459451717,0.9999853635789433,6.356563418520975e-06
252,CDC42,0.05654967,2.88318502724157e-57,3.8049531112275837e-56,55.419650690709595
253,AL031281.2,-0.0024332865,0.9174783189320312,0.9999853635789433,6.356563418520975e-06
254,ZBTB40,0.06010364,5.92280727691301e-07,1.9239171612308527e-06,5.715813631463924
255,EPHB2,0.000561382,0.9257682331722579,0.9999853635789433,6.356563418520975e-06
256,KDM1A,0.06347883,1.3879996768117485e-09,5.201217565118963e-09,8.283894979458314
257,LUZP1,0.05177933,2.3939015800183457e-05,7.003885480020952e-05,4.154660963645355
258,LINC01355,-0.026696263,0.037449146521783515,0.08064374254606609,1.0934293255241843
259,AL109936.6,-0.0005559288,0.9497512787075881,0.9999853635789433,6.356563418520975e-06
260,HNRNPR,0.063151,1.2240860136225172e-80,2.3065443725603637e-79,78.6370381861575
261,ZNF436,0.006838843,0.6052641275498063,0.9427228784604054,0.02561595311955081
262,ZNF436-AS1,-0.016781617,0.25190683072621445,0.4618679326408455,0.33548218964906146
263,TCEA3,-0.007662289,0.4496165033928802,0.7560694295346515,0.12143832158969882
264,ASAP3,0.00086873514,0.9626325551623693,0.9999853635789433,6.356563418520975e-06
265,E2F2,-0.06638157,1.8856424820327412e-06,5.9511222844527844e-06,5.225401125702701
266,ID3,-0.18342054,3.2592034936038005e-22,1.9656349704088755e-21,20.70649712997094
